doc_id,num_code,agency_id,effect,type,is_outstanding,date_issued,date_effective,date_published,sign_person_id,status_id,num_gazette,created_at,updated_at
1,35/NQ-HĐND,Tỉnh Đồng Nai,Còn hiệu lực,Nghị quyết,0,22/09/2022,22/09/2022,22/09/2022,Thái Bảo,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
2,3689/QĐ-BQP,Bộ Quốc phòng,Còn hiệu lực,Quyết định,0,22/09/2022,22/09/2022,22/09/2022,Lê Huy Vịnh,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
3,1904/QĐ-BCT,Bộ Công thương,Còn hiệu lực,Quyết định,0,22/09/2022,22/09/2022,22/09/2022,Đặng Hoàng An,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
4,1521/QĐ-TCT,Tổng cục Thuế,Còn hiệu lực,Quyết định,0,22/09/2022,22/09/2022,22/09/2022,Cao Anh Tuấn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
5,1119/QĐ-TTg,Thủ tướng Chính phủ,Còn hiệu lực,Quyết định,0,22/09/2022,22/09/2022,22/09/2022,Lê Văn Thành,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
6,54/2022/QĐ-UBND,Thành phố Hải Phòng,Còn hiệu lực,Quyết định,0,22/09/2022,01/10/2022,22/09/2022,Nguyễn Văn Tùng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
7,2863/QĐ-UBND,Tỉnh Nghệ An,Hết hiệu lực: 13/10/2023,Quyết định,0,22/09/2022,22/09/2022,22/09/2022,Hoàng Nghĩa Hiếu,Hết hiệu lực: 13/10/2023,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
8,2354/QĐ-UBND,Tỉnh Kiên Giang,Còn hiệu lực,Quyết định,0,22/09/2022,22/09/2022,22/09/2022,Nguyễn Thanh Nhàn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
9,10/2022/TT-BYT,Bộ Y tế,Còn hiệu lực,Thông tư,0,22/09/2022,22/09/2022,22/09/2022,Đỗ Xuân Tuyên,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
10,58/2022/TT-BTC,Bộ Tài chính,Còn hiệu lực,Thông tư,0,22/09/2022,10/11/2022,22/09/2022,Võ Thành Hưng,Còn hiệu lực,20/10/2022,2024-07-22 10:47:04,2024-07-22 10:47:04
